"a aquele", "para isso"
"afirmar", "reivindicar, A partir de uma ideia"
"afirmativo", "afirmar ou dar consentimento"
"afirmativo", "Uma resposta de afirmação"
"afivelar", "prenda com uma fivela ou fivelas"
"afixar", "firmemente fechado ou seguro"
"afixar", "Publicar ou anunciar por cartazes"
"afixo", "um elemento linguístico adicionado a uma palavra para produzir uma forma flexionada ou derivada"
"aflição", "algo que causa grande infelicidade"
"afligir", "causar ou causar danos a"
"aflito", "mental ou fisicamente impróprio"
"afloramento", "a parte de uma formação rochosa que aparece acima da superfície da terra circundante"
"afluência", "o processo de fluir em"
"afluente", "tendo um suprimento abundante de dinheiro ou posses de valor"
"afluir", "Seja adjacente ou se junte"
"afluxo", "o processo de fluir em"
"afofar", "inchar ou causar ampliar,"
"afogamento", "matar privando o oxigênio"
"afogar", "luta pela respiração, tem ingestão insuficiente de oxigênio"
"afoito", "possuindo ou exibindo coragem, capaz de enfrentar e lidar com perigo ou medo sem vacilar"
"aforismo", "um ditado que é amplamente aceito por seus próprios méritos"
"afortunar", "tendo boa sorte inesperada"
"afresco", "Um mural feito com aquarelas em gesso molhado"
"África", "o segundo maior continente, Localizado ao sul da Europa e fazia fronteira para o oeste pelo Atlântico Sul e a leste pelo Oceano Índico"
"africano", "de ou relacionado às nações da África ou de seus povos"
"afrodisíaco", "um medicamento ou outro agente que estimula o desejo sexual"
"Afrodite", "deusa do amor e beleza e filha de Zeus na mitologia antiga, Identificado com Roman Vênus"
"afrontar", "resistir ou confrontar com resistência"
"afronto", "um ato deliberadamente ofensivo ou algo que produz o efeito de desrespeito deliberado"
"afrouxar", "soltar ou soltar"
"afta", "uma bolha nas membranas mucosas dos lábios ou boca ou trato gastrointestinal"
"afugentar", "força para ir embora, usado com significados concretos e metafóricos"
"afundar", "cair, afundar ou se acalmar ou como se fosse por pressão ou perda de tautura"
"agachamento", "o ato de assumir ou manter uma posição agachada com os joelhos dobrados e as nádegas perto dos calcanhares"
"agachar", "Sente-se de salto"
"ágape", "Amor altruísta de uma pessoa por outra sem implicações sexuais (especialmente o amor de natureza espiritual)"
"agarrar", "segure, pegar"
"agasalho", "uma roupa de malha ou malha cobrindo a parte superior do corpo"
"ágatar", "uma forma impura de quartzo que consiste em calcedônia em faixas, usado como pedra preciosa e para fazer morteiros e pilotos"
"agencia", "um negócio que serve a outros negócios"
"agência", "um negócio que serve a outros negócios"
"agenciar", "Discuta os termos de um acordo"
"agendar", "Planeje uma atividade ou evento"
"agendar", "um dispositivo eletrônico de consumidor leve que se parece com um computador portátil, mas executa tarefas específicas, pode servir como um diário ou um banco de dados pessoal ou um telefone ou um despertador etc."
"agente", "um representante que age em nome de outras pessoas ou organizações"
"agigantar", "Faça algo em um grau excessivo"
"ágil", "movendo-se rápido e levemente"
"agilidader", "A graciosidade de uma pessoa ou animal que é rápida e ágil"
"agilizar", "mover mais rápido"
"ágio", "Uma taxa cobrada pela troca de moedas"
"agiota", "alguém que empresta dinheiro a taxas excessivas de juros"
"agir", "se comportar de uma certa maneira, mostrar um certo comportamento, conduzir ou se comportar"
"agitação", "o ato de agitar algo, fazendo com que ele se mova (geralmente vigorosamente)"
"agitador", "aquele que agita, um encrenqueiro político"
"agitar", "marcado por intensa agitação ou emoção"
"agitar", "mudar o arranjo ou posição de"
"aglomeração", "o ato de coletar em massa, o ato de aglomerar"
"aglomerar", "forma em um cluster"
"aglomerar", "superado ou compactado ou concentrado"
"aglutinação", "a construção de palavras de morfemas de componentes que mantêm sua forma e significado no processo de combinação"
"aglutinar", "agarrar-se, A partir de bactérias, glóbulos vermelhos, etc."
"agnósticar", "alguém que é duvidoso ou sem compromisso sobre algo"
"agnosticismo", "a descrença em qualquer reivindicação de conhecimento final"
"agnosticista", "Uma pessoa que afirma que não pode ter um verdadeiro conhecimento sobre a existência de Deus (mas não nega que Deus possa existir)"
"agnóstico", "incerto de todas as reivindicações de conhecimento"
"agoniar", "afetado por ou cheio de tristeza ou aflição"
"agoniar", "sentimentos de dor mental ou física"
"agonizar", "sofrer agonia ou angústia"
"agora", "no momento presente"
"agosto", "o mês seguinte em julho e em setembro anterior"
"agourar", "indicar por sinais"
"agoureiro", "(Roma antiga) Um funcionário religioso que interpretou os presságios para orientar a política pública"
"agourento", "Fortuna prematuramente"
"agouro", "algo que serve para indicar ou sugerir"
"agradabilidade", "o sentimento causado por estímulos agradáveis, um pólo de um continuum de estados de sentimento"
"agradar", "dar prazer ou ser agradável a"
"agradável", "em conformidade com seu próprio gosto, sentimentos ou natureza"
"agradavelmente", "de uma maneira legal"
"agradecer", "expressar gratidão ou mostrar apreço a"
"agradecer", "sentindo ou mostrando gratidão"
"agradecimento", "oferecendo palavras de homenagem como um ato de adoração"
"agrar", "uma expressão de gratidão"
"agrário", "relacionado a assuntos rurais"
"agravamento", "uma sensação exasperada de aborrecimento"
"agravante", "piorando"
"agravar", "piorar"
"agredir", "ataque na fala ou escrita"
"agregar", "reunir-se em uma massa, soma ou todo"
"agregar", "uma soma total de muitas coisas heterogênicas tomadas juntas"
"agressão", "ação violenta que é hostil e geralmente não provocada"
"agressivo", "ter ou mostrar determinação e busca enérgica de seus fins"
"agressor", "alguém que ataca"
"agreste", "falta de refinamento ou cultivo ou sabor"
"agrião", "folhas pungentes de qualquer uma das numerosas ervas crucíferas"
"agrícolar", "relacionado a assuntos rurais"
"agricultor", "alguém preocupado com a ciência, arte ou negócio de cultivar o solo"
"agricultor", "uma pessoa que opera uma fazenda"
"agricultura", "Agricultura considerada como uma ocupação ou modo de vida"
"agridoce", "tingido de tristeza"
"agrilhoar", "restringir com grilhões"
"agronomia", "A aplicação de ciências do solo e plantas ao manejo da terra e produção agrícola"
"agronômico", "relacionado a ou usado em ou promover agricultura ou agricultura"
"agrônomo", "alguém preocupado com a ciência, arte ou negócio de cultivar o solo"
"agrupamento", "a atividade de montar as coisas em grupos"
"agrupar", "organizar em um grupo ou grupos"
"agrura", "uma maneira grosseira e amarga"
"água", "um líquido necessário para a vida da maioria dos animais e plantas"
"aguaceiro", "uma chuva forte"
"aguar", "aberto ou abundante em ar fresco"
"aguar", "tornar menos forte ou intenso"
"aguardar", "estar grávida de"
"aguardente", "destilado de vinho ou suco de frutas fermentado"
"aguçar", "direto e óbvio em significado ou referência, muitas vezes desagradável"
"aguçar", "Faça mais nítido ou mais nítido"
"agudeza", "uma maneira grosseira e amarga"
"agudo", "ter ou emitir um tom ou tons agudos e agudos"
"aguentar", "Aumente com algo ou alguém desagradável"
"águia", "qualquer uma das várias grandes aves diurnas de presa, observadas por suas asas largas e voo forte"
"águiao", "qualquer uma das várias grandes aves diurnas de presa, observadas por suas asas largas e voo forte"
"agulhar", "um implemento pontiagudo nítido (geralmente aço)"
"aguo", "Composto binário que ocorre à temperatura ambiente como um líquido sem odor sem odor e sem odor, congela no gelo abaixo de 0 graus centígrados e ferve acima de 100 graus centígrados, amplamente utilizado como solvente"
'"aí", "em ou em um local indicado (geralmente distante) (`yon ''é arcaico e dialetal), ,  - Calder Willingham"'
"ai", "termos informais ou gírios para mentalmente irregular"
"aia", "um hábil em cuidar de crianças pequenas ou do doente (geralmente sob a supervisão de um médico)"
"aids", "Uma doença grave (geralmente fatal) do sistema imunológico transmitido através de produtos sanguíneos, especialmente por contato sexual ou agulhas contaminadas"
"ainda", "em maior grau ou extensão, usado com comparações"
"airoso", "refinado e de bom gosto na aparência ou comportamento ou estilo"
"ajax", "um herói grego mítico, um guerreiro que lutou contra Troy na Ilíada"
"ajeitar", "Ajuste para (melhor) funcionar"
"ajoelhar", "anel como anunciando a morte"
"ajudante", "um recurso"
"ajudar", "a atividade de contribuir para o cumprimento de uma necessidade ou promoção de um esforço ou propósito"
"ajudar", "melhorar a condição de"
"ajuizar", "agudamente perspicaz e sábia"
"ajustamentar", "fazer ou se tornar adequado, ajustando às circunstâncias"
"ajustamento", "(psiquiatria) Um processo inconsciente que tenta reduzir a ansiedade associada a desejos instintivos"
"ajustar", "adaptar ou se conformar a condições novas ou diferentes"
"ajustar", "alterado para acomodar certos requisitos ou trazer uma relação adequada"
"ajustável", "capaz de se adaptar (de se tornar ou ser adequado) a uma situação específica ou uso"
"ajustir", "o ato de fazer algo diferente (como por exemplo, o tamanho de uma peça de roupa)"
"alá", "Nome muçulmano para o único Deus"
"alabastro", "um branco muito claro"
"alagar", "preencher rapidamente além da capacidade, Como com um líquido"
"alambique", "um tipo obsoleto de recipiente usado para destilação, Duas respostas conectadas por um tubo"
"alamedar", "uma rua larga ou via"
"álamo", "Madeira não durável de cor leve"
"alanino", "um aminoácido cristalino que ocorre em muitas proteínas"
"alar", "muito rápido, Como se com asas"
"alar", "um órgão móvel para voar (um de um par)"
"alaranjar", "da cor entre vermelho e amarelo, semelhante à cor de uma laranja madura"
"alardear", "caminhar ostensivamente"
"alargamento", "uma impressão fotográfica que foi ampliada"
"alargar", "tornar mais amplo"
"alarmante", "assustador por causa de uma consciência de perigo"
"alarmar", "avisar ou despertar a um senso de perigo ou chamar para um estado de preparação"
"alarme", "Um sinal automático (geralmente um som) aviso de perigo"
"alarmismo", "avisos desnecessários"
"Alasca", "um estado no noroeste da América do Norte, o 49º estado admitido na União"
"alastrar", "causa para se tornar amplamente conhecido"
"alaúde", "Cordão composto por um instrumento arrancado com um corpo em forma de pêra, um pescoço geralmente dobrado e um braço traste"
"alavancar", "uma alavanca de ferro pesada com uma extremidade forjada em uma cunha"
"albanês", "de ou relacionado à Albânia ou seu povo ou idioma ou cultura"
"albaneso", "um nativo ou habitante da Albânia"
"albatroz", "Grandes pássaros com pés na web do hemisfério sul tendo asas longas estreitas, notado para vôo de deslizamento poderoso"
"albedo", "a proporção de refletida para a luz incidente"
"albergar", "Fique para trás"
"albergar", "Hospedagem supervisionada barata (especialmente para jovens em viagens de bicicleta)"
"albergarer", "Um hotel que fornece hospedagem noturna para viajantes"
"Alberta", "uma das três províncias da pradaria no oeste do Canadá, Rico em petróleo e gás natural e minerais"
"Alberto", "Príncipe Consorte da rainha Victoria da Inglaterra (1819-1861)"
"albinar", "uma pessoa com albinismo congênito: cabelos brancos e pele leitosa, Os olhos geralmente são rosa"
